"","text","emotion","polarity"
"65","money heist kando<U+0001F410><U+0001F410><U+0001F410><U+0001F602><ed><U+00A0><U+00BD>alking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","neutral"
"66","check out this product <U+0001F60D> money heist face mask <U+0001F60D> 
by healthy upgrades starting at
shop now <U+0001F449>y heart stopped beating…","joy","positive"
"67","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"68","i just finished money heist <U+0001F610>the ending was wtfvocals i mean yall hear her the high note tho my heart stopped beating…","anger","positive"
"69","interesting facts amp moments of money heistprofessordali maskfilmy thela 

moneyheist moneyheist…","unknown","positive"
"70","iran
i told ya’ll damn greatest heist of all time
follow the money","unknown","neutral"
"71","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"72","money heist doesn’t even deserve this comparison it’s such a rubbish show","unknown","negative"
"73","money heist<U+0001F611>oesn’t even deserve this comparison it’s such a rubbish show","unknown","negative"
"74","interesting facts amp moments of money heistprofessordali maskfilmy thela","unknown","positive"
"75","dark
chernobyl
breaking bad
got
money heist","sadness","negative"
"76","if dem talk say those wey watch money heist no go get money aaah <U+0001F602><U+0001F602><U+0001F602> wahala mawa onote tho my heart stopped beating…","joy","negative"
"77","money heist","unknown","positive"
"78","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"79","its from money heist season","unknown","positive"
"80","ahh nna akena series at the moment ke batla money heist ke e utlwaletse le prison break","unknown","negative"
"81","definitely they live the matrix and i was gonna add mr robot and money heist but judging by…","joy","positive"
"82","money heist can’t even be compared to jane the virgin","unknown","positive"
"83","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"84","the casino heist can be a great money maker its possible to bang out all the setups by you…","joy","positive"
"85","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"86","never thought id be a fan of money heist yazi <U+0001F602>vocals i mean yall hear her the high note tho my heart stopped beating…","anger","neutral"
"87","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"88","you friendsmoney heist","unknown","positive"
"89","money heist","unknown","positive"
"90","lcdpmoney heistau tw bruises

introducing our first member boston 
haikyuu haikyuufanart bokuto …","unknown","positive"
"91","i bet y’all won’t money heist some shit <U+0001F62D><ed><U+00A0><U+00BD>ur first member boston 
haikyuu haikyuufanart bokuto …","unknown","positive"
"92","money heist actors when they were kids<U+0001F60D>
who did you recognize firstaikyuu haikyuufanart bokuto …","unknown","positive"
"93","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"94","done with money heist","unknown","positive"
"95","the government operates like the professor in money heist psychological operations ruled by the agenda of astrology","joy","positive"
"96","money heist is pretty good","joy","positive"
"97","them arturo in money heist is probably the most annoying person in life

var no no no this is yellow card gone wrong…","anger","negative"
"98","money heist <U+0001F60D> money heist is probably the most annoying person in life

var no no no this is yellow card gone wrong…","anger","negative"
"99","have you finished it bro i deadass think they did a money heist on him and broke him out","anger","neutral"
"100","netflix 

breaking bad
dark 
money heist 
narcos 
peaky blinders 
stranger things 
black mirror 
…","sadness","negative"
"101","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"102","money heist the best","unknown","positive"
"103","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"104","money heist season","unknown","positive"
"105","money heist","unknown","positive"
"106","anybody wanna watch money heist in a cord at like ish or around there","joy","neutral"
"107","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"108","do you know who changes sides during wars the traitors the lowest of the low and do you know what happens to these rats…","sadness","neutral"
"109","do you know who changes sides during wars the traitors the lowest of the low and do you know what happens to th…","sadness","neutral"
"110","ninth house x the hazel wood

a botched museum heist leaves an amateur thief broke on halloween night the eve of her…","unknown","negative"
"111","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"112","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"113","end of the fing world
you
money heist 
reasons why 
prison break 
too got to handle 
mindhunter
stairc…","unknown","negative"
"114","finally watching money heist only complaint is the aspect ratio it was shot incan’t go wrong w dem black bars for sum like this","joy","negative"
