"","text","emotion","polarity"
"312","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"313","professor but i havent seen the complete season of money heist just saw a few episodes","unknown","positive"
"314","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"315","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"316","i love money heist and i haven’t seen the ranch i was talking in general i’m sure you have had this experience as well","joy","positive"
"317","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"318","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"319","every thief on money heist was unemployed facts<U+0001F602><U+0001F602>als i mean yall hear her the high note tho my heart stopped beating…","anger","neutral"
"320","money heist","unknown","positive"
"321","the only reason i hate a lot of tv shows is that they are hyped so muchi couldnt bear watching money heist cu…","anger","negative"
"322","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"323","hii i am quite new here and i want to meet some mutuals so rt if you stan
 new hope club
 sos
 one direction
 harry…","unknown","positive"
"324","if you watch money heist in english please block me before i find out","joy","negative"
"325","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"326","spongebob squarepants gtgtgtgtgtgtgtmoney heist","unknown","positive"
"327","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"328","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"329","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"330","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"331","ninth house x the hazel wood

a botched museum heist leaves an amateur thief broke on halloween night the eve of her…","unknown","negative"
"332","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"333","i bet y’all won’t money heist some shit <U+0001F62D><ed><U+00A0><U+00BD>eons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","neutral"
"334","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"335","money heist<U+0001F62D>et tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"336","alex no its not bro u can make serious money off that heist and u can glitch it like big also","anger","negative"
"337","aku dah kelar money heist the end of the fucking world trs skrng i am not okay with this tinggalseason lg kelar <U+0001F602>ting…","unknown","positive"
"338","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"339","talking about money heist or the ranch","unknown","positive"
"340","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"341","ninth house x the hazel wood

a botched museum heist leaves an amateur thief broke on halloween night the eve of her…","unknown","negative"
"342","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"343","money heist ghana version 
professor helps namplan the biggest heist in the history of ghana 
will nam get away w…","sadness","neutral"
"344","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"345","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"346","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"347","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"348","money heist","unknown","positive"
"349","money heist on netflix","unknown","positive"
"350","all this white ppl sex just made me turn off money heist","disgust","positive"
"351","this looks like a scene out of money heist","anger","positive"
"352","i bet y’all won’t money heist some shit <U+0001F62D><ed><U+00A0><U+00BD>eons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","neutral"
"353","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"354","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"355","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"356","money heist
breaking bad
peaky blinders<U+0001F4AF>
prison break
vikingsyall hear her the high note tho my heart stopped beating…","anger","negative"
"357","lagi maraton the king dan money heist","anger","positive"
"358","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"359","<U+0001F480><U+0001F480><U+0001F602>wow and the money heist partbout hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","neutral"
"360","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"361","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"362","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"363","what an ending of money heist p <U+0001F389><U+0001F38A><ed><U+00A0><U+00BD>t hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","neutral"
"364","money heist ghana version 
professor helps namplan the biggest heist in the history of ghana 
will nam get away w…","sadness","neutral"
"365","friends ko roz roz dekh leti ho or money heist k alawa breaking bad","sadness","negative"
"366","gila this is money heist season","unknown","positive"
"367","money heist","unknown","positive"
"368","money heist ghana version 
professor helps namplan the biggest heist in the history of ghana 
will nam get away w…","sadness","neutral"
"369","money heist","unknown","positive"
"370","money heist <U+2714><U+FE0F>
sex education <U+2714><U+FE0F>
you <U+2714><U+FE0F>

<U+0001F3A5>up next chilling adventures of sabrina <ed><U+00A0><U+00BD>y of ghana 
will nam get away w…","fear","positive"
"371","people help themselves to money after krugersdorp cashintransit heist","unknown","positive"
"372","i havent watched a single episode of money heist will society accept me","unknown","positive"
"373","kannadigas who watched money heist
bella ciao

kannadigas who havent watched money heist
<U+0CAC><U+0CC6><U+0CB2><U+0CCD><U+0CB2> <U+0C9A><U+0CB9><U+0CBE> <U+0001F642>m get away w…","sadness","negative"
"374","money heist should be cancelled in south africa","unknown","positive"
"375","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"376","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"377","same all netflix shows are the best in their original language stop being a wuss and use subtitles anime prepared me for…","unknown","positive"
"378","anonymous is hot <U+0001F485><U+0001F3FD><U+0001F485><U+0001F3FD> this resistance is feeling like money heist in real life no lie anonymus blacklivesmatd me for…","joy","neutral"
"379","shifting focus to a smaller project that might actually bring some money in by the end of the year mont vox a minijrp…","unknown","positive"
"380","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>e year mont vox a minijrp…","fear","positive"
"381","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"382","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"383","same all netflix shows are the best in their original language stop being a wuss and use subtitles anime prepare…","unknown","positive"
"384","just finished money heist season","unknown","positive"
"385","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"386","netflixmind hunter
money heist
narcos
unbelievable
dark
you
ozark
 reasons why 
designat…","sadness","negative"
"387","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"388","money heist seasonis out
internetshutdown
honsambadelivers
mutahi kagwe
nairobimetropolitanworks …","unknown","positive"
"389","if you watch money heist in english please block me before i find out","joy","negative"
"390","if you watch money heist in english please block me before i find out","joy","negative"
"391","if you watch money heist in english please block me before i find out","joy","negative"
"392","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"393","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"394","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"395","how about kanpur or lucknow or even calcutta if you notice all characters in the sh…","unknown","positive"
"396","you all having been watching the wrong money heist <U+0001F31D>

ja<U+0001F64C>all characters in the sh…","unknown","negative"
"397","the covid money heist 

comrades doing comradely things","unknown","positive"
"398","people should stop watching money heist<U+0001F602>ney heist <U+0001F31D>

ja<U+0001F64C>all characters in the sh…","unknown","positive"
"399","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"400","money heist","unknown","positive"
"401","money heist seasonis out
internetshutdown
honsambadelivers
mutahi kagwe
nairobimetropolitanworks","unknown","positive"
"402","eeeiii money heist in reality","unknown","positive"
"403","money heist ka ikh bhi ep nhi dekha will this society accept me<U+0001F644><ed><U+00A0><U+00BD> hear her the high note tho my heart stopped beating…","anger","positive"
"404","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"405","genie in b the beginning looks exactly like the professor in money heist coincidence coincidence","joy","positive"
"406","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"407","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"408","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"409","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"410","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"411","hola señora soy seoul and you can probably tell i’ve been watching too much money heist my name’s ac…","unknown","positive"
"412","if you watch money heist in english please block me before i find out","joy","negative"
"413","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"414","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"415","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"416","money heist on netflix its originally a spanish show so theres english dubs over it but its one o…","unknown","negative"
"417","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"418","money heist is so overrated","unknown","positive"
"419","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"420","money heist elite pll barbie<U+263A><U+FE0F>","unknown","positive"
"421","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"422","i havent watched a single episode of money heist will society accept me","unknown","positive"
"423","if you watch money heist in english please block me before i find out","joy","negative"
"424","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"425","sh gang in a money heist au tho","unknown","positive"
"426","ifwas a money heist character it would be arturo","unknown","positive"
"427","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"428","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"429","money heist is so good","joy","positive"
"430","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"431","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"432","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"433","money heist is up there with prison break and breaking bad","sadness","negative"
"434","no one 

money heist characters after everymins","unknown","positive"
"435","guys i made avakin lol
and i tried so hard make my profile look like tokyo from money heist <U+0001F602>my heart stopped beating…","joy","neutral"
"436","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"437","only st season of st was good and firstseasons of money heist some scenes just…","joy","positive"
"438","prison break
money heist 
power
how to get away with murder
suits
breaking bad","sadness","negative"
"439","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"440","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"441","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"442","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"443","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"444","if i stay with uand my joy is wrong i dont care at all<U+0001F3B6>
if am loosing nowbut i win later on thats all i…opped beating…","joy","neutral"
"445","i still think about how money heist ended its last season lol","unknown","neutral"
"446","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"447","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"448","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"449","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"450","i dont give a shit about money heist or stranger things those two are the most ov…","unknown","negative"
"451","indian playersmoney heist version <U+0001F499>

follow this thread <ed><U+00A0><U+00BD>ose two are the most ov…","unknown","positive"
"452","wait is it only x rp on casino heist is there double money on it as well","unknown","positive"
"453","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"454","money heist is up there with prison break and breaking bad","sadness","negative"
"455","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"456","ninth house x the hazel wood

a botched museum heist leaves an amateur thief broke on halloween night the eve of her…","unknown","negative"
"457","money heist is one hell of a series","unknown","negative"
"458","“cultural appropriation is the money heist of the black community” blmsouthampton blacklivesmattteruk","unknown","negative"
"459","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"460","money heist <U+0001F60D>t tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"461","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"462","money heist season","unknown","positive"
"463","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"464","money heist ghana version 
professor helps namplan the biggest heist in the history of ghana 
will nam get away w…","sadness","neutral"
"465","bella ciaomoney heist remixdj energ

download now

watch…","unknown","positive"
"466","money heist","unknown","positive"
"467","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"468","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"469","is money heist worth to be watched beyond s","unknown","positive"
"470","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"471","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"472","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"473","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"474","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"475","indian playersmoney heist version <U+0001F499>

follow this thread <ed><U+00A0><U+00BD> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"476","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"477","money heist seasondown","unknown","positive"
"478","that concludes you dont like foreign language movies

i enjoy them tho n netflix has a vast range lik…","joy","positive"
"479","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"480","vikings
got
money heist
lucifer","unknown","positive"
"481","indian playersmoney heist version <U+0001F499>

follow this thread <ed><U+00A0><U+00BD>ean yall hear her the high note tho my heart stopped beating…","anger","positive"
"482","ninth house x the hazel wood

a botched museum heist leaves an amateur thief broke on halloween night the eve of her…","unknown","negative"
"483","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"484","hii i am quite new here and i want to meet some mutuals so rt if you stan
 new hope club
 sos
 one direction
 harry…","unknown","positive"
"485","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"486","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"487","my brother just started watching money heist and i told him berlin dies he has asked me to sit in a corner now","joy","positive"
"488","shooter queen of the south power money heistreasons why top boy how to get away with murder…","surprise","negative"
"489","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"490","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"491","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"492","deep into episodeof money heist and i don’t understand why people hate berlin he is focused","anger","negative"
"493","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"494","money heist got its idea fromtell me im wrong","unknown","negative"
"495","okay time to take a break going back into watching money heist i know huli na me sa trend","unknown","positive"
"496","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"497","never i have eversecx educationreasons whymoney heistfracturedlocke ampkey","unknown","positive"
"498","who watched money heist","unknown","positive"
"499","ohhokkso everyone has their tastethank god you r not saying money heist is the gr…","sadness","positive"
"500","commissionedfor a kirishima in a red jumpsuitmoney heist outfit same outfit for the ongoing actor au fic im d…","unknown","positive"
"501","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"502","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"503","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"504","for someone whos took money heist emotionally mentally and spiritually i am still not over how hyo and cheetah used the dal…","unknown","positive"
"505","money heist
elite","unknown","positive"
"506","who’s your favorite money heist character mines tokyo 
moneyheist netflix","unknown","positive"
"507","for someone whos took money heist emotionally mentally and spiritually i am still not over how hyo and cheetah us…","unknown","positive"
"508","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"509","outer banks flash money heist all american","unknown","negative"
"510","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"511","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"512","gonna start money heist heard it was good","joy","positive"
"513","money heist","unknown","positive"
"514","suggest some good netflix hotstar amazon prime series to watch money heist pataal lok the family man special…","joy","neutral"
"515","ninth house x the hazel wood

a botched museum heist leaves an amateur thief broke on halloween night the eve of her…","unknown","negative"
"516","selfcare is money heist x bsd fanart","unknown","positive"
"517","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"518","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"519","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"520","money heist is bare intensei get all anxious and nervous probably not the best time to watch it","fear","negative"
"521","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"522","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"523","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"524","ninth house x the hazel wood

a botched museum heist leaves an amateur thief broke on halloween night the eve of her…","unknown","negative"
"525","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"526","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"527","is money heist really that good","joy","positive"
"528","when ii first watched money heist ii was high ii thought ii was tripping <U+0001F602><U+0001F602> cuz the words came b they talked <U+0001F926><U+0001F3FE>ing…","anger","positive"
"529","money heistvodkabuttered cornperfect nightcap ecqdaymultinational village","unknown","positive"
"530","people will see you in pictures and assume you are rich
when they see you in real life they will say you are living fak…","unknown","positive"
"531","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"532","resume international travel
 allow more airlines to operate 
 stop vande bharat money heis…","unknown","positive"
"533","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"534","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"535","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"536","money heist is awesome","unknown","positive"
"537","money heist","unknown","positive"
"538","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"539","tell us something we didnt know the biggest heist of public money is in progress being perpetrated by the very peop…","unknown","positive"
"540","of the people who has seen money heist have bella ciao on their playlist <U+0001F974>gress being perpetrated by the very peop…","unknown","positive"
"541","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"542","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"543","mf sugar daddy bot look like arturo from money heist <U+0001F602><ed><U+00A0><U+00BD> mean yall hear her the high note tho my heart stopped beating…","joy","positive"
"544","am i the only one whos never watched money heist","unknown","positive"
"545","dracula was not hyped very few ppl liked it including me money heist however different hype train","unknown","positive"
"546","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"547","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"548","im talking abt money heist","unknown","positive"
"549","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"550","cough money heist cough","unknown","positive"
"551","bro not the actual proffessor the money heist series character called proffessor","anger","positive"
"552","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"553","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"554","cough money heist cough","unknown","positive"
"555","indian playersmoney heist version <U+0001F499>

follow this thread <ed><U+00A0><U+00BD>ean yall hear her the high note tho my heart stopped beating…","anger","positive"
"556","all hail to money heist for conquered into my nerve","unknown","positive"
"557","love u <U+0001F614><U+270C><U+FE0F><U+0001F495> you are doing the right thing and im glad u have a lot of supporters you remind me oeart stopped beating…","joy","positive"
"558","commissionedfor a kirishima in a red jumpsuitmoney heist outfit same outfit for the ongoing actor au fic im d…","unknown","positive"
"559","i havent watched money heistbreaking badany marvel movie kya karlijiyega","surprise","positive"
"560","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"561","lol there’s a man that did a heist this morning in kagiso then went off to spread the money on his bed…","unknown","positive"
"562","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"563","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"564","money heist is good af","joy","positive"
"565","money heist inspired them","unknown","positive"
"566","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"567","money heist in sa <U+0001F633>tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"568","i havent watched money heistbreaking badany marvel movie kya karlijiyega","surprise","positive"
"569","money heist","unknown","positive"
"570","money hei…","unknown","positive"
"571","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"572","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"573","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"574","when ii first watched money heist ii was high ii thought ii was tripping <U+0001F602><U+0001F602> cuz the words came b they talked <U+0001F926><U+0001F3FE>ing…","anger","positive"
"575","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"576","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"577","money heist","unknown","positive"
"578","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"579","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"580","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"581","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"582","and money heist money heist is sooooo good","joy","positive"
"583","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"584","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…","joy","positive"
"585","the government that couldnt feed the poor for more one month during this covid are trying to waste n billion on renovati…","sadness","negative"
"586","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD> waste n billion on renovati…","fear","positive"
"587","money heist <U+0001F609>owing tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD> waste n billion on renovati…","fear","positive"
"588","parthow well do you know money heist take the quiz and find out 











moneyheist lecasadepapel …","unknown","positive"
"589","waiting for partof money heist like","joy","positive"
"590","all american outer banks riverdale money heist lt","unknown","positive"
"591","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"592","prison break
money heist
locked up
sex education","unknown","neutral"
"593","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"594","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"595","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"596","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"597","watch ertugrul it’ll teach you very expensive and important lessons of life guaranteed
money h…","unknown","negative"
"598","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"599","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"600","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"601","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"602","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"603","this is exactly what berlin from money heist was saying","unknown","positive"
"604","money heist is so fire ughhhhhh","unknown","positive"
"605","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"606","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
